SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
67.76,0.26,13.51,5.17,0.26,0.05,0.15,0.04,11.47,0.1692739079
64.7,0.95,14.6,3.75,1.06,1.32,0.04,0.63,11.19,0.1729520866
60.45,0.51,18.28,2.74,2.13,1.03,0.11,0.12,11.93,0.1973531844
64.9,0.51,15.8,4.85,1.25,0.29,0.16,0.09,11.93,0.1838212635
65.4,0.96,14.3,3.63,1.02,1.36,0.03,0.61,10.88,0.1663608563
59.5,0.95,17.9,4.38,2.4,1.01,0.33,0.32,11.35,0.1907563025
66.4,0.91,14.6,2.66,0.84,1.19,0.03,0.5,11.21,0.1688253012
62.462,0.715,17.008,3.51,2.089,0.544,0.115,0.188,10.944,0.175210528
63.65,0.26,15.01,3.41,0.77,0.15,0.15,0.02,10.96,0.1721916732
66.98,0.61,9.94,10.5,0.73,0.06,0.24,0.03,11.7,0.1746790087
67.59,0.73,15.35,2.88,0.68,0.41,0.14,0.1,11.2,0.1657049859
