SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2,Predicted_Label
57.91,0.31000000000000005,16.45,5.66,5.7,2.46,0.09,0.04999999999999999,8.61,0.1486789846,Trachyandesite
74.87,0.24,13.25,2.1099999999999994,1.4799999999999995,0.23999999999999932,0.086,0.045999999999999985,7.45,0.09950581007,Rhyolite
64.56,0.58,17.66,3.1099999999999994,2.1100000000000003,1.5499999999999998,0.09,0.22,10.49,0.1624845105,Trachyte
52.93,1.23,12.18,6.36,6.3,3.36,0.16,0.32,8.33,0.1311028983,Basaltic Trachyandesite
51.72,0.51,13.4,5.23,7.16,6.96,0.31,0.26,12.32,0.2382057231,Tephriphonolite
59.4,0.54,14.63,5.28,5.79,2.72,0.07,0.06,9.38,0.1579124579,Trachyandesite
43.23,1.91,13.1,9.9,9.18,13.7,0.17,0.76,5.4,0.1249132547,Tephrite
43.61,1.9499999999999997,13.42,9.88,9.31,13.3,0.17,0.77,5.58,0.1279523045,Tephrite
44.45,3.75,13.7,11.9,8.56,9.01,0.18,0.82,7.18,0.1615298088,Tephrite
52.06,0.95,13.43,6.07,7.95,5.99,0.23,0.39,12.79,0.2036112178,Tephriphonolite
48.96,1.78,15.31,13.3,10.53,6.7,0.22,0.22,3.0,0.0612745098,Basalt
45.51,2.35,14.59,9.46,8.11,7.1,0.26,1.03,10.02,0.2201713909,Foidite
48.12,1.07,18.29,7.05,9.87,5.9,0.19,0.42,5.25,0.1091022444,Trachybasalt
58.98,0.58,15.53,5.54,5.53,3.1,0.05,0.02999999999999997,9.91,0.1680230587,Trachyandesite
45.41,2.21,14.03,10.69,10.22,6.94,0.2,0.83,8.28,0.1823386919,Tephrite
44.78,4.02,14.62,11.72,10.27,7.04,0.181,0.58,4.762,0.106342117,Basanite
42.17,2.92,12.8,12.03,10.36,11.39,0.19,0.99,4.74,0.1124021816,Basanite
75.95,0.3400000000000001,13.17,1.1100000000000003,0.9000000000000004,0.2599999999999998,0.04000000000000001,0.07,7.8,0.1026991442,Rhyolite
56.37,0.56,14.3,3.36,11.23,0.7999999999999998,0.07,0.07,13.63,0.2417952812,Phonolite
50.28,2.11,17.58,10.03,7.4,4.98,0.16,0.57,5.94,0.1181384248,Trachybasalt
43.45,1.6,13.57,11.57,6.02,9.72,0.19,1.07,12.71,0.2925201381,Foidite
55.78,1.46,15.48,6.97,7.8,4.99,0.3,0.22,6.8,0.1219074937,Basaltic Trachyandesite
63.49,0.89,16.88,3.78,1.75,0.8700000000000001,0.15,0.3,11.87,0.1869585762,Trachyte
49.34,0.51,13.71,4.18,6.1,3.62,0.09,0.04999999999999999,8.92,0.2010504202,Phonotephrite
61.14,0.82,16.68,5.52,2.6000000000000005,2.06,0.12,0.27,8.14,0.1331370625,Trachyandesite
44.04,3.13,13.18,11.56,9.51,9.49,0.17,0.94,5.12,0.1162579473,Basanite
50.4,0.3599999999999999,12.12,5.06,7.68,3.61,0.08,0.04999999999999999,9.14,0.2026487282,Phonotephrite
68.25,0.28,12.75,5.16,0.41999999999999993,0.02999999999999936,0.12,0.020000000000000018,11.22,0.1643956044,Trachyte
47.83,1.72,13.65,10.46,10.95,6.09,0.18,0.56,5.17,0.1080911562,Trachybasalt
44.06,2.206,11.79,11.99,11.11,12.27,0.2,0.391,4.178,0.09482523831,Basanite
42.75,3.42,10.43,9.48,11.95,7.21,0.13,1.48,11.83,0.2767251462,Foidite
38.26,3.28,11.86,11.41,13.75,14.63,0.2,1.25,5.8,0.1515943544,Foidite
63.84,0.73,17.59,2.95,1.5700000000000003,1.4500000000000002,0.06000000000000001,0.10000000000000003,9.39,0.1470864662,Trachydacite
74.1,0.27700000000000014,14.05,2.29,1.6100000000000003,0.28000000000000025,0.085,0.04999999999999999,6.99,0.09433198381,Rhyolite
61.2,0.58,17.01,5.19,5.77,2.6899999999999995,0.09,0.15,5.04,0.08235294118,Andesite
71.821,0.31800000000000006,12.513,3.5199999999999996,0.8499999999999996,0.21999999999999975,0.064,0.05099999999999999,8.682,0.1208838641,Rhyolite
66.59,0.27,14.97,3.56,0.7800000000000002,0.1200000000000001,0.16,0.020000000000000018,10.88,0.1633878961,Trachyte
44.76,2.29,14.97,10.42,7.98,9.7,0.17,0.8799999999999999,6.36,0.1420911528,Tephrite
53.21,0.94,12.55,10.23,7.62,10.44,0.17,0.14,4.6,0.08644991543,Basaltic Andesite
74.39,0.09000000000000008,12.83,1.5,0.6900000000000004,0.1200000000000001,0.06000000000000001,0.009999999999999953,9.08,0.1220594166,Rhyolite
48.53,0.48,13.8,4.15,7.69,2.24,0.09,0.02999999999999997,10.86,0.1889609114,Phonotephrite
42.82,0.3500000000000001,1.4000000000000004,17.19,3.54,33.290000000000006,0.22,0.0,0.05999999999999961,0.0014012143859999937,Picrobasalt
53.68,0.55,15.47,2.1400000000000006,11.63,1.12,0.08,0.08000000000000002,13.8,0.2570789866,Phonolite
43.84,1.58,7.55,12.52,7.46,23.559999999999995,0.17,0.15,1.5099999999999998,0.034443430659999996,Picrobasalt
60.85,0.763,16.99,6.18,4.95,2.63,0.191,0.41,7.1,0.1166803615,Trachyandesite
61.43,0.6,18.26,5.67,6.44,2.43,0.1319,0.16960000000000003,5.19,0.08448640729,Andesite
50.34,1.58,15.34,4.39,6.93,4.77,0.2,0.21,7.55,0.113757622,Basaltic Trachyandesite
48.12,2.688,13.79,10.25,8.256,7.522,0.139,0.744,5.419,0.1126142976,Trachybasalt
51.78,0.87,12.93,6.19,6.8,4.97,0.3,0.29,12.94,0.2499034376,Tephriphonolite
45.7,3.43,16.22,11.77,9.19,4.96,0.213,0.8799999999999999,7.64,0.1671772429,Tephrite
46.6,2.93,16.4,9.72,9.9,5.1,0.19,1.01,6.95,0.1491416309,Tephrite
43.82,3.99,11.68,13.43,11.86,8.48,0.2,0.44,4.88,0.1113646737,Basanite
43.51,3.99,12.32,6.34,9.58,12.09,0.17,0.52,11.11,0.2553435992,Foidite
54.13,0.81,17.6,7.15,8.5,7.53,0.14,0.17,3.97,0.07334195455,Basaltic Andesite
55.024,0.7970000000000002,16.435,8.21,8.629,6.141,0.14,0.19299999999999998,3.3700000000000006,0.06124600174,Basaltic Andesite
53.6,0.55,13.65,6.08,7.12,6.68,0.13,0.31,10.75,0.20055970150000002,Tephriphonolite
46.0,3.26,16.4,10.8,9.4,4.43,0.18,0.9099999999999999,6.8,0.147826087,Tephrite
52.05,2.92,13.83,11.9,8.9,5.37,0.17,0.58,4.28,0.08222862632,Basalt
42.24,1.19,12.27,11.94,10.77,19.06,0.12,0.21,1.1500000000000004,0.027225378790000004,Picrobasalt
42.69,2.55,12.39,11.18,11.85,11.05,0.18,0.94,5.01,0.117357695,Basanite
49.0,1.51,15.27,8.02,8.61,5.38,0.13,0.65,6.86,0.14,Trachybasalt
