SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2,Predicted_Label
49.78,0.5,12.53,4.76,7.45,3.49,0.06000000000000001,0.09000000000000002,9.35,0.21215781,Phonotephrite
53.27,0.51,14.84,6.64,5.32,5.69,0.25,0.23,10.34,0.1941055003,Tephriphonolite
54.24,0.75,15.1,5.33,6.71,5.29,0.29,0.46,12.17,0.2243731563,Tephriphonolite
55.5,0.53,14.64,2.4800000000000004,10.76,0.9399999999999995,0.08,0.04999999999999999,13.9,0.2504504505,Phonolite
54.58,0.75,14.45,4.92,7.34,5.74,0.25,0.10999999999999999,10.46,0.1916452913,Tephriphonolite
59.29,1.32,16.2,7.09,10.21,4.29,0.26,0.5,0.7699999999999996,0.012987012990000005,Andesite
43.89,1.69,7.25,12.79,7.36,22.97,0.15,0.15,1.58,0.03599908863000001,Picrobasalt
56.68,0.48,14.69,2.42,10.2,1.1100000000000003,0.09,0.03999999999999998,13.2,0.2328863797,Phonolite
42.03,3.45,11.6,12.47,11.74,10.84,0.16,0.5,3.43,0.08160837497,Basanite
41.86,3.13,12.64,11.26,10.03,11.09,0.19,1.26,8.97,0.2142857143,Foidite
66.7,0.87,13.27,7.84,1.2199999999999998,3.4,0.06000000000000001,0.23,5.49,0.08230884558,Dacite
48.51,2.31,17.03,10.28,7.82,5.65,0.2,0.67,5.81,0.1197691198,Trachybasalt
55.09,0.65,14.1,5.27,7.36,5.43,0.2,0.13,11.34,0.2058449809,Tephriphonolite
50.77,2.43,12.65,4.53,6.58,4.12,0.15,0.28,6.54,0.1438721137,Basaltic Trachyandesite
53.34,0.79,14.14,4.87,7.75,5.65,0.23,0.43,9.99,0.2432844351,Tephriphonolite
43.12,3.55,3.1899999999999995,14.28,11.19,21.89,0.22,0.15,0.9399999999999995,0.021799628939999996,Picrobasalt
51.6,0.77,12.91,4.06,7.59,6.14,0.28,0.23,12.46,0.2178159797,Tephriphonolite
49.6,2.84,14.8,9.2,6.56,5.85,0.1,0.8,5.85,0.1179435484,Trachybasalt
45.51,2.35,14.59,9.46,8.11,7.1,0.26,1.03,10.02,0.2201713909,Foidite
49.87,0.3700000000000001,13.54,4.96,6.46,2.61,0.03,0.09000000000000002,9.22,0.1728691477,Phonotephrite
38.95,1.1,16.33,8.03,8.9,12.87,0.21,0.28,10.49,0.2693196406,Foidite
67.19,0.55,15.68,2.76,1.8999999999999995,0.7800000000000002,0.04000000000000001,0.13,9.41,0.1400506028,Trachydacite
48.73,0.32000000000000006,13.61,5.65,7.34,3.08,0.05,0.08000000000000002,10.66,0.1984191325,Phonotephrite
61.73,0.22999999999999998,19.38,2.1099999999999994,2.84,0.23999999999999932,0.07,0.020000000000000018,11.85,0.1919650089,Trachyte
63.5,0.53,16.7,4.4,1.4900000000000002,0.3700000000000001,0.12,0.10000000000000003,11.7,0.1842519685,Trachyte
47.7,1.87,16.8,11.2,10.1,4.51,0.2,0.5,5.84,0.1224318658,Trachybasalt
51.31,2.214,14.92,9.22,5.235,5.177,0.118,0.879,9.568,0.1864743715,Phonotephrite
44.63,1.4,7.13,11.95,6.33,24.21,0.19,0.14,1.7400000000000002,0.03898722832,Picrobasalt
56.62,0.52,13.85,2.8200000000000003,11.91,0.7400000000000002,0.04000000000000001,0.02999999999999997,13.1,0.2313670081,Phonolite
42.66,3.06,14.32,11.68,10.28,8.96,0.22,0.72,4.36,0.1022034693,Basanite
53.6,1.86,12.22,4.34,5.77,3.39,0.28,0.31,8.21,0.1146260496,Basaltic Trachyandesite
65.04,1.04,18.11,4.87,4.1,3.02,0.15,0.52,3.4899999999999998,0.053659286589999994,Dacite
56.76,0.73,16.31,8.54,4.63,8.02,0.139,0.12899999999999998,4.6,0.08104298802,Basaltic Andesite
68.17,1.04,15.88,5.81,5.61,2.5300000000000002,0.18,0.19000000000000003,1.2999999999999998,0.01906997213,Dacite
60.6,0.75,15.7,5.51,5.37,3.0,0.09,0.21,6.0,0.09900990099,Andesite
67.8,0.73,14.53,4.7,3.52,2.81,0.07,0.09000000000000002,5.23,0.07713864307,Dacite
62.51,1.7,14.64,5.98,4.17,1.7999999999999998,0.12,0.67,7.73,0.1236602144,Trachydacite
55.41,2.49,15.79,5.68,7.39,4.51,0.14,0.17,6.75,0.1218191662,Basaltic Trachyandesite
43.8,2.43,14.32,10.46,8.07,11.45,0.17,0.7,5.94,0.1356164384,Tephrite
56.62,0.4,13.77,3.77,10.82,1.4299999999999997,0.05,0.08000000000000002,12.64,0.2232426704,Phonolite
47.36,1.17,9.3,15.21,10.48,12.02,0.24,0.04999999999999999,1.29,0.027238175680000004,Basalt
59.14,0.7,19.44,3.41,0.7599999999999998,0.3799999999999999,0.19,0.07,14.669999999999998,0.2480554616,Phonolite
44.32,2.0,10.25,11.3,9.56,18.57,0.11000000000000001,0.13,1.0600000000000005,0.023916967509999998,Picrobasalt
43.18,1.33,10.03,11.28,11.53,19.72,0.11000000000000001,0.23,2.3900000000000006,0.055349698929999996,Picrobasalt
47.6,1.77,18.3,10.5,10.6,4.74,0.18,0.5,5.89,0.1237394958,Trachybasalt
53.75,0.59,13.48,6.98,5.77,4.18,0.16,0.45,11.17,0.2420587053,Tephriphonolite
44.735,4.185,16.637,11.27,9.645,4.97,0.22,0.992,6.044,0.1351067397,Tephrite
55.0,0.58,13.76,2.8200000000000003,10.74,1.3200000000000003,0.1,0.04999999999999999,13.78,0.2505454545,Phonolite
57.33,0.4099999999999998,18.81,4.93,3.79,7.84,0.45,0.64,3.91,0.06820163963,Andesite
47.46,2.11,14.68,11.44,8.74,8.08,0.16,0.58,5.53,0.116519174,Trachybasalt
48.7,2.25,16.9,10.73,8.96,5.4,0.202,0.55,5.107,0.1048665298,Trachybasalt
44.8,3.16,13.25,10.77,10.87,7.35,0.18,0.59,7.82,0.1745535714,Tephrite
43.51,3.99,12.32,6.34,9.58,12.09,0.17,0.52,11.11,0.2553435992,Foidite
61.8,0.51,16.58,5.13,5.15,2.29,0.07,0.02999999999999997,7.51,0.1215210356,Trachyandesite
66.98,0.25,13.63,5.16,0.47999999999999954,0.08000000000000007,0.16,0.02999999999999997,11.47,0.1712451478,Trachyte
65.26,0.65,16.61,4.7,3.5,1.4500000000000002,0.08,0.31,7.76,0.1189089795,Trachydacite
61.27,1.03,16.48,5.29,4.63,2.56,0.1,0.4,7.56,0.1233882814,Trachyandesite
64.11,0.6899999999999998,15.12,5.49,2.6399999999999997,1.54,0.05,0.42,8.25,0.1286850725,Trachydacite
55.74,0.8299999999999998,17.07,8.95,9.16,4.73,0.17,0.12,3.35,0.06010046645,Basaltic Andesite
65.04,1.04,18.11,4.87,4.1,3.02,0.15,0.52,3.4899999999999998,0.053659286589999994,Dacite
43.98,1.97,15.62,11.1,11.21,7.58,0.19,0.352,3.4499999999999997,0.07844474761,Basanite
52.67,1.12,15.98,6.9,7.03,3.28,0.11000000000000001,0.43,6.32,0.1290381456,Basaltic Trachyandesite
63.84,1.32,15.3,4.96,1.8200000000000003,1.7199999999999998,0.08,0.28,9.69,0.1517857143,Trachydacite
52.66,0.8,12.74,5.64,6.55,4.1,0.32,0.21,12.27,0.2049881668,Tephriphonolite
43.86,3.63,15.91,13.37,7.23,5.33,0.18,0.9649999999999999,7.13,0.1625626995,Tephrite
54.78,0.62,12.74,4.81,6.7,5.19,0.3,0.37,12.01,0.2247781199,Tephriphonolite
65.34,0.58,13.83,7.74,5.49,1.4299999999999997,0.18,0.23,4.2,0.06427915519,Dacite
58.74,0.56,14.56,5.51,6.0,2.2700000000000005,0.06000000000000001,0.07,9.7,0.165134491,Trachyandesite
43.76,1.94,11.24,9.95,12.56,18.76,0.26,0.17,1.4800000000000004,0.03382084095,Picrobasalt
46.63,2.1,13.27,9.87,10.25,9.66,0.17,0.51,4.74,0.1016512974,Basalt
54.72,1.61,14.27,9.3,8.84,4.71,0.16,0.25,5.15,0.09411549708,Basaltic Andesite
42.84,2.96,10.96,11.38,8.56,10.47,0.21,0.75,12.45,0.2906162465,Foidite
42.97,2.3,13.93,11.4,11.18,9.85,0.2,0.67,5.14,0.1196183384,Basanite
62.84,0.4099999999999998,15.68,4.26,1.08,0.4299999999999997,0.05,0.09000000000000002,12.37,0.1968491407,Trachyte
57.36,0.33000000000000007,14.92,2.2,10.26,1.0600000000000005,0.08,0.06,12.69,0.2212343096,Phonolite
44.8,0.92,11.05,12.84,12.36,16.3,0.31,0.16000000000000003,0.9699999999999998,0.021651785709999996,Picrobasalt
46.21,0.43999999999999995,12.67,4.19,7.19,2.95,0.09,0.08000000000000002,9.37,0.2030091583,Phonotephrite
65.1,0.59,16.36,3.4600000000000004,4.46,2.44,0.06000000000000001,0.24,6.62,0.1016897081,Dacite
62.53,0.54,16.84,3.94,1.6900000000000004,0.41000000000000014,0.13,0.15,10.81,0.172877019,Trachyte
54.16,1.51,15.5,4.52,5.62,4.94,0.17,0.10999999999999999,6.05,0.1071813285,Basaltic Trachyandesite
53.74,2.43,15.4,6.88,7.92,4.4,0.19,0.47,7.66,0.1425381466,Basaltic Trachyandesite
57.5,0.89,18.9,5.5,7.47,4.09,0.1,0.15,5.35,0.09304347826,Andesite
54.88,1.22,17.76,4.57,9.32,5.9,0.25,0.12,3.79,0.06905976676,Basaltic Andesite
60.0,0.7,17.2,7.7,5.9,4.3,0.2,0.10000000000000003,4.0,0.06666666667,Andesite
70.42,0.5,12.69,1.92,1.4500000000000002,0.4500000000000002,0.06000000000000001,0.09000000000000002,10.31,0.1464072707,Rhyolite
55.41,2.49,15.79,5.68,7.39,4.51,0.14,0.17,6.75,0.1218191662,Basaltic Trachyandesite
49.09,0.4,12.49,5.29,6.48,3.61,0.04000000000000001,0.020000000000000018,11.11,0.22841689200000004,Phonotephrite
50.78,0.51,12.81,4.53,7.68,2.78,0.09,0.04999999999999999,8.77,0.1723101583,Phonotephrite
66.08,1.16,14.28,4.49,1.92,0.5199999999999996,0.03,0.46,9.44,0.1428571429,Trachydacite
49.0,0.74,15.5,6.07,10.4,5.51,0.14,0.62,8.6,0.1755102041,Phonotephrite
46.37,2.81,14.34,10.93,9.75,7.61,0.23,0.57,6.17,0.1330601682,Tephrite
58.55,0.57,15.63,5.72,6.14,2.16,0.06000000000000001,0.10000000000000003,9.7,0.1656703672,Trachyandesite
62.8,0.42999999999999994,16.2,5.32,5.65,3.45,0.1,0.14,5.42,0.08630573248,Andesite
51.75,0.99,14.66,9.61,10.46,8.78,0.13,0.14,3.46,0.06685990338,Basalt
40.15,3.83,15.03,10.12,7.82,11.79,0.22,0.73,10.58,0.2635118306,Foidite
44.82,1.53,7.97,11.9,7.43,23.159999999999997,0.17,0.14,1.4800000000000004,0.03302097277999999,Picrobasalt
44.02,2.75,10.61,12.67,10.23,10.35,0.17,0.48,3.4899999999999998,0.07928214448,Basanite
49.72,1.54,13.03,8.23,9.3,7.85,0.15,1.47,7.78,0.1564762671,Phonotephrite
48.4,1.82,15.08,11.77,11.38,6.75,0.17,0.19000000000000003,2.5600000000000005,0.05289256198,Basalt
53.67,1.13,14.61,4.18,6.55,3.27,0.11000000000000001,0.28,6.48,0.1096467143,Basaltic Trachyandesite
75.9,0.17999999999999994,13.24,1.75,1.5899999999999999,0.20999999999999996,0.07,0.020000000000000018,6.37,0.08392621871,Rhyolite
48.41,0.93,17.19,6.96,10.35,4.29,0.14,0.9299999999999999,9.58,0.1978929973,Phonotephrite
65.76,0.51,16.36,2.6099999999999994,3.78,1.3899999999999997,0.03,0.48,10.03,0.1525243309,Trachydacite
55.71,1.86,12.01,4.26,5.58,3.71,0.26,0.5,6.61,0.1075733046,Basaltic Trachyandesite
42.62,2.38,10.26,13.65,8.77,19.33,0.3,0.08000000000000002,0.2400000000000002,0.005631159080000003,Picrobasalt
52.4,0.57,14.88,9.27,10.88,8.37,0.15,0.09000000000000002,2.5,0.04770992366,Basaltic Andesite
51.44,1.08,14.29,7.87,10.74,9.92,0.18,0.06,3.34,0.06493001555,Basalt
59.8,0.9435,13.5,9.38,5.66,2.76,0.1303,0.1969,6.32,0.1056856187,Andesite
46.8,3.07,15.2,12.0,10.7,7.0,0.19,0.77,4.01,0.08568376068,Basalt
50.33,1.4,13.4,5.2,5.44,4.61,0.21,0.27,7.25,0.1195250146,Basaltic Trachyandesite
38.15,3.38,15.02,8.78,13.6,12.0,0.15,0.95,8.49,0.222542595,Foidite
64.91,0.3700000000000001,15.55,5.49,3.27,2.46,0.05,0.12,7.78,0.1198582653,Trachydacite
67.91,0.89,14.04,3.9,2.6800000000000006,0.6699999999999999,0.06000000000000001,0.5,9.44,0.1390075099,Trachydacite
58.0,0.92,17.96,5.61,6.98,3.81,0.09,0.27,5.71,0.09844827586,Andesite
41.5,2.73,11.57,13.37,12.03,11.33,0.22,0.55,3.61,0.08698795181000002,Basanite
76.1,0.19999999999999996,12.96,1.46,1.2999999999999998,0.2699999999999996,0.06000000000000001,0.03999999999999998,7.45,0.09789750329,Rhyolite
54.74,1.06,15.5,6.25,7.87,4.97,0.31,0.38,7.64,0.139568871,Basaltic Trachyandesite
61.03,1.01,16.47,5.61,2.1100000000000003,0.8300000000000001,0.17,0.32,11.54,0.1890873341,Trachyte
41.12,2.32,11.43,13.5,12.93,17.1,0.25,0.13,0.8399999999999999,0.02042801556,Picrobasalt
60.46,0.5,18.84,3.94,3.17,0.8200000000000003,0.13,0.15,11.56,0.1912007939,Trachyte
60.14,0.7,16.8,5.56,6.01,3.74,0.13,0.19000000000000003,5.73,0.0952776854,Andesite
53.76,2.5,15.92,6.65,6.35,3.4,0.17,0.24,8.37,0.1556919643,Basaltic Trachyandesite
42.86,0.32299999999999995,10.57,10.57,6.25,26.299999999999997,0.172,0.03999999999999998,1.1600000000000001,0.027064862339999995,Picrobasalt
55.38,1.38,13.06,6.53,6.2,3.35,0.26,0.3,6.01,0.1421737467,Basaltic Trachyandesite
48.44,0.3700000000000001,13.25,4.28,7.93,3.6,0.09,0.02999999999999997,9.42,0.2209469154,Phonotephrite
44.2,2.47,15.07,11.02,10.06,10.09,0.19,0.54,4.56,0.1031674208,Basanite
55.61,0.6,15.9,2.29,10.61,0.6100000000000003,0.08,0.08000000000000002,13.5,0.2427620931,Phonolite
48.03,1.99,14.5,9.7,6.82,10.27,0.14846,1.03,8.47,0.1763481158,Phonotephrite
56.76,1.52,16.38,5.64,5.59,3.66,0.07,0.14,8.34,0.1469344609,Trachyandesite
58.61,0.81,14.71,4.06,5.67,2.6,0.16,0.06,11.9,0.2030370244,Trachyte
50.77,1.323,16.52,9.83,8.703,5.105,0.146,0.399,5.229,0.102993894,Trachybasalt
44.7,2.15,9.46,11.4,8.78,19.05,0.27,0.10999999999999999,1.6399999999999997,0.03668903803000001,Picrobasalt
42.73,1.7,6.110000000000001,13.18,8.81,24.229999999999997,0.2,0.23,1.3399999999999999,0.03135970044,Picrobasalt
39.74,1.7,15.95,10.96,7.17,13.5,0.22,1.08,6.83,0.1718671364,Foidite
53.85,0.52,13.75,4.81,6.49,6.72,0.11000000000000001,0.34,11.22,0.2133333333,Tephriphonolite
40.03,3.94,17.84,8.71,9.74,9.64,0.12,0.54,7.28,0.1818636023,Foidite
47.2,0.55,13.64,8.64,8.47,10.89,0.15,0.2,7.28,0.1542372881,Tephrite
57.35,0.48,13.82,2.3900000000000006,10.34,0.8899999999999997,0.06000000000000001,0.06,13.87,0.2418482999,Phonolite
43.505,3.135,13.577,11.81,11.315,11.260000000000002,0.2,0.632,4.664,0.1072060683,Basanite
58.0,0.92,17.96,5.61,6.98,3.81,0.09,0.27,5.71,0.09844827586,Andesite
48.2,1.72,18.4,10.3,10.3,4.48,0.19,0.51,5.98,0.12406639,Trachybasalt
57.47,0.6176,17.08,5.51,8.216,4.872,0.1245,0.1364,4.927,0.0857316861,Andesite
39.53,3.63,12.01,11.0,8.32,12.59,0.34,0.78,12.27,0.3103971667,Foidite
40.19,3.14,13.43,12.68,11.05,8.94,0.25,0.53,10.73,0.2669818363,Foidite
54.59,0.54,14.02,4.42,7.35,6.96,0.12,0.10000000000000003,10.36,0.2081132075,Tephriphonolite
49.41,2.969,12.59,11.5,9.18,8.04,0.151,0.446,4.02,0.08136004857,Basalt
51.68,0.63,14.98,8.78,12.06,8.4,0.18,0.13,2.3200000000000003,0.04489164087,Basalt
54.96,1.37,15.83,9.39,8.4,4.0,0.2,0.21,4.61,0.08387918486,Basaltic Andesite
56.41,0.7,15.32,6.56,8.36,5.58,0.13,0.10000000000000003,4.27,0.07569579862,Basaltic Andesite
57.44,0.701,18.1,6.56,7.8,3.45,0.237,0.16000000000000003,4.825,0.08400069638,Andesite
57.27,0.44999999999999996,15.15,2.66,10.27,0.5800000000000001,0.08,0.07,13.45,0.2348524533,Phonolite
62.8,0.42999999999999994,16.2,5.32,5.65,3.45,0.1,0.14,5.42,0.08630573248,Andesite
42.23,3.38,11.95,10.77,12.2,12.489999999999998,0.2,0.7,5.1,0.1207672271,Basanite
65.8,0.96,14.4,3.26,1.0099999999999998,1.21,0.03,0.62,10.97,0.1667173252,Trachyte
56.86,0.43999999999999995,15.61,2.16,10.25,1.1899999999999995,0.1,0.02999999999999997,12.24,0.2152655645,Phonolite
61.21,0.97,20.38,3.3199999999999994,1.0700000000000003,0.5300000000000002,0.23,0.16000000000000003,11.76,0.1921254697,Trachyte
44.19,2.35,14.27,10.44,8.34,11.55,0.17,0.72,5.36,0.1212944105,Tephrite
41.75,2.03,9.91,13.71,12.97,14.13,0.12,0.28,2.74,0.06562874251,Picrobasalt
68.61,0.51,15.35,3.18,5.57,1.0499999999999998,0.17,0.33,5.6,0.08162075499,Dacite
50.2,1.78,14.1,12.69,11.0,6.2,0.25,0.22,1.6100000000000003,0.03207171315,Basalt
53.76,1.83,15.85,6.54,6.35,4.59,0.19,0.31,7.26,0.1289497717,Basaltic Trachyandesite
77.43,0.1499999999999999,11.98,1.8899999999999997,1.0099999999999998,0.3200000000000003,0.01999999999999999,0.03999999999999998,6.95,0.08975849154,Rhyolite
57.93,1.98,16.99,10.97,5.63,4.62,0.28,0.15,1.3399999999999999,0.023131365439999996,Andesite
46.89,0.3700000000000001,13.56,4.52,7.63,3.58,0.03,0.02999999999999997,9.86,0.1773886563,Phonotephrite
53.21,2.36,14.68,6.14,5.18,4.97,0.26,0.33,7.43,0.1626264554,Basaltic Trachyandesite
61.1,0.72,14.34,9.91,0.6699999999999999,0.16999999999999993,0.34,0.020000000000000018,11.16,0.1826513912,Trachyte
43.63,2.34,9.23,12.65,10.81,19.48,0.17,0.33,1.17,0.026816410730000004,Picrobasalt
44.4,2.4,14.09,11.64,9.13,9.28,0.18,0.75,5.19,0.1168918919,Basanite
45.66,2.75,11.38,11.67,10.22,13.08,0.17,0.39,3.25,0.0711782742,Basalt
53.81,1.43,13.4,6.3,6.02,3.06,0.12,0.43,6.37,0.1263858093,Basaltic Trachyandesite
47.25,0.4099999999999998,12.4,4.69,6.19,2.2,0.06000000000000001,0.09000000000000002,10.16,0.1942,Phonotephrite
58.57,0.47,13.12,2.0299999999999994,10.14,1.08,0.08,0.03999999999999998,13.35,0.2279323886,Phonolite
42.75,3.42,10.43,9.48,11.95,7.21,0.13,1.48,11.83,0.2767251462,Foidite
50.1,0.85,14.3,13.32,10.5,7.27,0.2,0.07,1.9900000000000002,0.039720558880000006,Basalt
55.89,1.55,15.45,9.46,5.94,5.48,0.23,0.23,4.89,0.08749329039,Basaltic Andesite
48.4,1.77,18.5,10.2,10.0,4.39,0.18,0.51,6.07,0.1254132231,Trachybasalt
60.62,0.55,18.9,4.23,2.1800000000000006,1.2800000000000002,0.13,0.19000000000000003,11.45,0.1888815572,Trachyte
50.2,0.77,16.5,9.18,11.0,5.68,0.19,0.36,5.97,0.1189243028,Trachybasalt
60.46,0.54,15.82,5.36,5.45,3.6500000000000004,0.08,0.03999999999999998,7.8,0.1290109163,Trachyandesite
56.12,0.61,19.75,6.1,2.1100000000000003,0.6299999999999999,0.2,0.21,13.96,0.2487526728,Phonolite
41.19,1.41,8.77,13.72,11.96,19.42,0.17,0.13,2.49,0.060451565910000005,Picrobasalt
61.64,0.32000000000000006,16.6,5.61,5.14,3.36,0.06000000000000001,0.03999999999999998,6.92,0.1122647631,Trachyandesite
49.31,1.93,14.62,9.09,9.17,8.95,0.17,0.8699999999999999,4.95,0.1003853174,Basalt
55.38,1.81,15.19,9.15,7.23,5.56,0.25,0.14,3.5099999999999993,0.06338028169,Basaltic Andesite
52.09,0.51,14.78,6.55,5.93,6.65,0.22,0.36,12.21,0.2344019965,Tephriphonolite
47.42,1.178,15.41,7.67,11.18,8.66,0.148,0.373,5.218,0.1100379587,Trachybasalt
49.0,1.32,15.36,9.49,9.38,9.0,0.18,0.47,4.03,0.08224489796,Basalt
60.06,0.3700000000000001,16.83,4.76,5.95,2.6899999999999995,0.08,0.020000000000000018,8.15,0.1356976357,Trachyandesite
61.7,0.63,17.1,5.88,6.6,3.01,0.13,0.14,4.93,0.07990275527,Andesite
57.0,1.24,14.6,5.88,6.14,4.62,0.1,0.68,9.07,0.159122807,Trachyandesite
57.36,0.33000000000000007,14.92,2.2,10.26,1.0600000000000005,0.08,0.06,12.69,0.2212343096,Phonolite
75.2,0.21999999999999997,12.4,2.7699999999999996,0.11000000000000032,0.54,0.2,0.04999999999999999,6.26,0.08324468085,Rhyolite
64.23,0.51,15.95,5.21,3.2400000000000007,0.8100000000000005,0.09,0.33,9.06,0.1410555815,Trachydacite
45.94,2.29,17.11,11.81,9.13,4.9,0.19,0.62,6.07,0.1321288637,Tephrite
65.29,0.1499999999999999,16.68,3.1899999999999995,0.4400000000000004,0.11000000000000032,0.01999999999999999,0.06,12.0,0.1837953745,Trachyte
41.5,2.57,13.05,12.61,12.63,8.43,0.2,1.63,5.37,0.1293975904,Tephrite
60.52,0.93,19.05,3.5199999999999996,0.6200000000000001,0.7300000000000004,0.26,0.08000000000000002,11.44,0.1890284204,Trachyte
47.41,2.79,18.53,9.47,7.59,2.7899999999999996,0.22,1.21,8.61,0.1816072559,Phonotephrite
57.7,1.0,18.6,8.0,8.3,2.5,0.2,0.10000000000000003,3.8000000000000003,0.06585788562,Andesite
43.19,2.83,11.89,11.45,11.15,9.62,0.17,1.01,4.24,0.09817087289,Basanite
64.38,0.65,16.17,3.62,3.84,1.33,0.09,0.36,8.36,0.1298539919,Trachydacite
47.9,0.8,18.3,6.44,8.72,3.44,0.15,0.61,10.03,0.209394572,Phonotephrite
58.6,1.97,13.88,6.22,7.99,6.96,0.29,0.2,4.42,0.07542662115999998,Andesite
42.89,2.5,8.09,11.67,10.32,19.92,0.17,0.34,1.5199999999999996,0.03543949638999999,Picrobasalt
53.3,1.6,15.46,6.38,7.62,4.67,0.17,0.4,7.86,0.147467167,Basaltic Trachyandesite
59.88,0.63,16.28,4.37,4.66,4.25,1.58,0.26,8.26,0.1379425518,Trachyandesite
42.19,4.18,12.39,11.92,11.3,12.61,0.17,0.42,4.31,0.1021569092,Basanite
46.0,3.26,16.4,10.8,9.4,4.43,0.18,0.9099999999999999,6.8,0.147826087,Tephrite
54.34,0.85,13.86,6.65,7.27,4.3,0.14,0.48,12.59,0.1850594228,Tephriphonolite
53.58,0.75,13.73,4.45,7.37,4.05,0.18,0.15,12.42,0.215217003,Tephriphonolite
43.87,4.498,15.56,12.83,9.87,5.16,0.166,0.61,3.7,0.08434009574,Basanite
53.11,0.6899999999999998,12.7,9.35,8.45,11.48,0.16,0.18,2.83,0.05328563358999999,Basaltic Andesite
50.08,0.4,12.25,5.58,7.36,3.92,0.06000000000000001,0.09000000000000002,9.89,0.1718401298,Phonotephrite
54.83,1.17,16.89,8.97,6.64,3.59,0.16,0.43,5.48,0.09994528543,Basaltic Andesite
41.86,3.13,12.64,11.26,10.03,11.09,0.19,1.26,8.97,0.2142857143,Foidite
69.79,0.4,15.44,3.3199999999999994,4.06,1.6799999999999997,0.06000000000000001,0.10000000000000003,5.41,0.07751826909,Dacite
56.41,0.3500000000000001,13.37,3.2000000000000006,10.4,0.9299999999999997,0.01999999999999999,0.03999999999999998,13.39,0.2373692608,Phonolite
48.61,0.47,12.92,5.8,6.14,2.83,0.04000000000000001,0.07,9.69,0.2110128617,Phonotephrite
41.03,3.96,10.11,11.87,8.51,8.29,0.33,0.34,13.99,0.3409700219,Foidite
65.0,0.76,16.6,3.4,1.5300000000000002,0.7199999999999998,0.07,0.22,11.32,0.1741538462,Trachyte
60.446,0.712,17.15,7.143,7.12,2.944,0.215,0.17800000000000002,4.093,0.06771333091,Andesite
79.66,0.33000000000000007,12.6,1.3899999999999997,0.5599999999999996,0.1200000000000001,0.09,0.06,4.91,0.06163695707,Rhyolite
53.69,2.17,15.11,4.48,6.77,4.46,0.28,0.48,7.49,0.142969056,Basaltic Trachyandesite
54.76,1.4,20.2,3.82,3.1800000000000006,0.6799999999999997,0.1,0.12,14.12,0.257852447,Phonolite
57.07,0.51,14.58,3.5199999999999996,10.07,1.0899999999999999,0.05,0.10000000000000003,13.43,0.2353250394,Phonolite
44.85,2.2,9.1,13.2,8.88,16.64,0.15,0.23,2.8900000000000006,0.06443701226,Picrobasalt
59.08,0.66,16.71,6.23,6.92,4.51,0.11000000000000001,0.14,5.01,0.08480027082,Andesite
48.73,2.09,15.86,10.09,7.87,8.1,0.15,0.53,5.98,0.1227170121,Trachybasalt
50.02,0.8299999999999998,17.49,8.22,11.81,5.95,0.16,0.42,3.85,0.07696921232,Basalt
53.16,1.454,16.45,8.58,7.167,4.763,0.14,0.373,4.92,0.09255079007,Basaltic Andesite
53.39,2.46,15.35,5.76,7.32,4.38,0.15,0.18,8.04,0.1505899981,Basaltic Trachyandesite
50.27,0.44999999999999996,12.53,5.21,6.41,2.11,0.08,0.06,8.53,0.1940763835,Phonotephrite
49.26,1.79,17.49,6.6,6.44,5.62,0.12,0.85,7.75,0.1573284612,Phonotephrite
59.84,1.49,13.67,5.95,5.94,7.38,0.37,0.54,4.42,0.07386363636,Andesite
50.23,2.27,13.32,13.24,8.87,6.6,0.16,0.27,2.95,0.05872984272000001,Basalt
62.96,0.62,16.44,2.84,0.7199999999999998,0.3099999999999996,0.22,0.07,12.96,0.2058449809,Trachyte
66.9,0.09000000000000008,14.4,5.01,0.2999999999999998,0.02999999999999936,0.06000000000000001,0.08000000000000002,11.53,0.1723467862,Trachyte
60.53,0.68,16.69,6.34,6.16,2.74,0.13,0.12,5.28,0.08722947299,Andesite
78.84,0.3799999999999999,12.23,0.9800000000000004,1.0,0.3099999999999996,0.09,0.09000000000000002,5.25,0.06659056317,Rhyolite
52.45,0.86,17.68,9.42,10.78,6.1,0.19,0.09000000000000002,2.6099999999999994,0.04976167779,Basaltic Andesite
63.98,0.54,15.87,3.26,4.21,1.9699999999999993,0.05,0.16000000000000003,10.61,0.1658330728,Trachyte
46.34,1.29,13.88,9.98,10.25,11.34,0.14,1.38,4.29,0.09257660768,Basalt
48.7,2.6,14.72,10.17,12.13,5.27,0.131,0.38,3.7600000000000002,0.0772073922,Basalt
64.94,1.22,12.95,6.06,2.62,1.0600000000000005,0.14,0.32,7.71,0.1187249769,Trachydacite
43.98,4.27,13.71,12.15,9.13,8.06,0.21,0.86,7.28,0.1655297863,Tephrite
74.14,0.08000000000000007,12.65,1.5,0.75,0.17999999999999972,0.06000000000000001,0.009999999999999953,9.37,0.1263825196,Rhyolite
50.58,1.28,16.26,7.59,8.3,5.31,0.17,0.8699999999999999,5.99,0.1184262554,Trachybasalt
46.37,2.26,15.49,11.51,8.43,8.62,0.15,0.61,4.36,0.09402631011,Basalt
42.53,3.69,14.65,9.76,9.18,7.54,0.33,0.66,8.98,0.2111450741,Foidite
