SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
41.2,4.83,10.54,12.77,10.28,3.54,0.45,1.2,5.97,0.1449029126
45,1.4,12.9,8.26,11.4,10.6,0.15,1.11,5.66,0.1257777778
43.03,1.63,12.95,12.27,12.15,4.45,0.24,1.34,6.01,0.1396699977
46.38,2.94,15.18,11.18,9.08,5.5,0.17,0.62,6.35,0.1369124623
56.9,1.6,15.6,5.94,8,2.9,0.1,0.8,7.6,0.1335676626
55.46,0.81,17.71,9.28,3.2,1.64,0.157,1.1,9.3,0.1676884241
58.46,1.17,16.56,5.85,5.58,3.49,0.11,0.46,7.19,0.1229900787
56.23,0.98,17.39,8.57,2.6,0.74,0.22,0.35,10.03,0.1783745332
53.85,0.86,17.08,5.67,2.94,1.57,0.07,0.46,9.78,0.1816155989
59.97,0.68,18.16,8.88,0.37,0.13,0.04,0.23,7.29,0.1215607804
55.87,1.52,12.77,6.15,7.25,6.43,0.12,0.92,8.29,0.1483801682
61.37,0.62,16.41,5.81,5.05,2.03,0.17,0.2,6.82,0.1111292162
57.85,1.07,17.8,6.5,3.93,2.02,0.14,0.22,9.35,0.161624892
59.38,1.99,12.89,9.86,4.33,1.93,0.27,0.73,7.1,0.1195688784
59.7,1.119,16.97,4.88,4.96,3.16,0.09,0.505,7.022,0.1176214405
58.69,1.02,16.46,6.38,5.49,3.06,0.09,0.33,6.55,0.1116033396
56.48,0.82,15.95,4.7,8.62,2.82,0.09,0.5,8.69,0.1538597734
61.1,1.6,15.7,5.67,4.9,1.9,0.1,0.8,7.5,0.1227495908
55.71,0.65,17.48,4.83,5.9,2.83,0.1,0.55,9.68,0.1737569557
56.88,1.53,11.18,4.81,5.31,7.79,0.03,0.87,11.06,0.1944444444
61.9,0.89,16.82,4.35,4.73,1.92,0.06,0.3,7.57,0.1222940226
59.4,1.5,16.7,5.62,0.51,3.52,0.03,0.3,8.8,0.1481481481
61.35,0.83,16.66,5.19,1.87,1.57,0.04,0.26,8.1,0.1320293399
60.72,0.85,16.83,4.38,5.41,2.52,0.07,0.38,6.71,0.1105072464
46.4,2,16.1,11.9,10.9,5.54,0.22,0.44,5.26,0.113362069
47.68,3.57,14.8,13.43,8.27,3.99,0.26,0.92,5.3,0.1111577181
47.17,1.68,17.25,10.32,10.66,5.59,0.18,0.55,5.64,0.1195675217
47.1,0.75,16.2,9.09,9.22,7.24,0.21,0.54,5.31,0.1127388535
49.48,2.04,15.71,10.1,7.801,7.17,0.142,0.495,5.878,0.1187954729
47.13,3.35,16.64,11.79,8.33,4.4,0.25,0.79,5.57,0.1181837471
49.23,1.03,16.04,7.68,10.03,9.54,0.14,0.37,5.27,0.1070485476
47.7,1.76,18.2,10.5,10.4,4.8,0.18,0.51,5.89,0.1234800839
47.5,1.86,17.1,11.2,9.99,4.44,0.21,0.5,5.98,0.1258947368
48.56,1.38,18.26,8.74,10.29,5.67,0.16,0.53,6.4,0.1317957166
47.15,2.11,14.98,10.47,8.53,9.03,0.16,0.57,5.39,0.1143160127
49.43,2.09,13.94,10.97,10.01,5.06,0.2,0.65,5.64,0.1141007485
48.87,1.12,18.37,8.64,11.34,5.35,0.14,0.5,5.66,0.1158174749
47.08,2.29,16.74,11.45,8.23,7.34,0.2,0.588,5.28,0.1121495327
46.49,1.63,13.72,10.08,7.2,13,0.15,0.46,5.41,0.1163691116
49.57,1.822,12.75,6.35,11.06,6.03,0.113,0.556,5.461,0.11016744
47.45,3.46,16.94,12.07,6.93,4.93,0.15,0.65,5.93,0.1249736565
48.01,2.584,12.94,10.01,9.555,7.078,0.139,0.599,5.4,0.1124765674
48.69,2.26,14.27,9.3,8.62,6.8,0.13,0.74,5.34,0.1096734442
45.95,3.48,13.39,16.29,7.89,4.8,0.2,1.94,5.23,0.1138193689
67.5,0.59,16.31,2.58,1.9,0.7,0.08,0.12,9.31,0.1379259259
62.9,0.89,15.79,4.66,3.74,0.84,0.06,0.29,8.76,0.1392686804
61.84,0.54,16.03,4.98,3.27,1.8,0.08,0.19,9.03,0.1460219922
66.62,0.09,19.86,0.85,0.35,0.07,0.02,0.03,9.05,0.1358450916
65.9,0.77,12.2,2.64,1.82,3.45,0.05,0.61,9.74,0.1477996965
66.73,0.55,16.59,2.3,2.41,0.61,0.07,0.1,9.64,0.1444627604
62.65,1.28,16.62,5.23,1.77,1.01,0.03,0.17,8.61,0.1374301676
67.31,0.6,16.1,3.1,2.05,0.82,0.08,0.13,9.45,0.1403951865
62.06,1.403,15.52,5.41,4.18,2.02,0.068,0.73,8.61,0.1387367064
62.53,1.465,15.63,4.43,4.24,2.24,0.076,0.793,8.6,0.1375339837
67.53,0.58,16.12,2.26,1.37,0.63,0.06,0.11,10.05,0.1488227454
67.69,0.47,15.24,2.05,1.25,0.48,0.08,0.06,10.08,0.1489141675
65.5,0.63,13.7,8.3,2.8,0.16,0.25,0.1,8.52,0.1300763359
65.43,0.69,15.03,3.62,1.43,1.14,0.14,0.15,7.94,0.1213510622
68.21,0.32,15.7,2.28,1.67,0.41,0.08,0.12,8.95,0.1312124322
63.06,1.21,13.6,7.89,3.71,1.08,0.17,0.34,7.34,0.1163970821
66.29,0.658,14.959,4.134,2.697,0.922,0.105,0.334,8.584,0.1294916277
63.4,0.64,15.9,4.1,1.74,0.96,0.04,0.21,9.29,0.1465299685
62.7,0.96,16.66,4.94,4.19,1.51,0.08,0.47,7.54,0.1202551834
66.83,0.26,15.61,2.5,2.74,1.02,0.02,0.11,8.08,0.1209037857
60.74,0.56,15.94,5.79,1.3,0.32,0.26,0.02,11.71,0.1927889365
64.71,0.83,15.34,3.93,0.43,0.72,0.18,0.11,12.63,0.1951784886
61.9,0.15,17.3,4.53,1.08,0.05,0.15,0.03,11.79,0.1904684976
66.98,0.61,9.94,10.5,0.73,0.06,0.24,0.03,11.7,0.1746790087
62.19,0.29,15.89,3.3,0.81,0.24,0.15,0.05,11.68,0.1878115453
61.99,0.57,14.84,5.27,0.9,0.3,0.22,0.08,11.7,0.1887401194
65.94,0.64,14.69,4.45,0.58,0.41,0.12,0.33,11.63,0.1763724598
63.71,0.31,19.91,1.63,1.55,0.12,0.07,0.01,12.71,0.1994977241
63.56,0.53,18.19,3.1,1.94,0.52,0.24,0.15,11.78,0.1853366897
58.79,1.16,18.12,4.95,2.87,1.3,0.16,0.39,10.86,0.1847252934
66.462,0.586,16.146,2.589,0.214,0.189,0.047,0.122,11.085,0.1667870362
59.09,1.11,15.2,4.65,5.08,2.88,0.11,0.68,10.68,0.1807412422
62.51,0.49,18.4,3.45,0.74,0.47,0.31,0.1,13.24,0.211806111
62.11,0.47,14.04,5.58,0.55,0.24,0.25,0.04,11.51,0.1853163742
59.2,0.77,18.3,4.34,2.18,1.13,0.18,0.26,11.6,0.1959459459
64.9,0.51,15.8,4.85,1.25,0.29,0.16,0.09,11.93,0.1838212635
66.4,0.91,14.6,2.66,0.84,1.19,0.03,0.5,11.21,0.1688253012
66.58,0.9,16.06,2.39,0.43,0.01,0.09,0.11,12.23,0.1836887954
62.74,0.83,18.6,3.01,1.04,0.52,0.2,0.13,12.58,0.2005100414
61.12,1.03,18.95,2.59,1.53,0.54,0.04,0.08,10.83,0.1771924084
