SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
67.98,0.26,16.01,2.28,2.37,0.36,0.03,0.13,8.07,0.1187113857
63.2,0.66,16.87,4.65,3.4,1.43,0.11,0.35,7.45,0.1178797468
64.36,0.65,17.08,4.27,3.5,1.41,0.14,0.2,7.9,0.1227470479
62.06,1.403,15.52,5.41,4.18,2.02,0.068,0.73,8.61,0.1387367064
62.48,1.27,16.58,5.22,1.77,1,0.03,0.17,8.61,0.1378040973
66.5,0.56,15.75,3.59,3.26,1.16,0.09,0.18,8.2,0.1233082707
67.53,0.58,16.12,2.26,1.37,0.63,0.06,0.11,10.05,0.1488227454
64.66,1.1,16.23,5.06,2.37,1.47,0.09,0.4,8.64,0.1336220229
67.8,0.2,12.1,2.88,1.3,1,0.4,0.1,8.7,0.1283185841
63.4,0.64,15.9,4.1,1.74,0.96,0.04,0.21,9.29,0.1465299685
65.91,0.45,14.63,2.92,2.81,1.48,0.06,0.18,7.73,0.1172811409
62.26,0.89,16.36,3.74,2.21,0.94,0.13,0.22,8.31,0.1334725345
63.6,0.55,14.9,3.33,3.01,1.13,0.06,0.25,9.09,0.1429245283
65.63,1.21,12.89,6.08,2.39,0.97,0.15,0.33,7.77,0.1183909797
68,0.5,15.4,3.27,2.68,0.99,0.06,0.17,8.21,0.1207352941
63.2,0.57,15.4,3.82,1.55,2.41,0.05,0.26,8.74,0.1382911392
68.207,0.878,13.33,3.82,1.434,0.327,0.136,0.247,9.333,0.1368334628
63.1,1.08,16.26,4.44,3.2,1.33,0.1,0.32,8.71,0.1380348653
65.5,0.63,13.7,8.3,2.8,0.16,0.25,0.1,8.52,0.1300763359
66.14,0.37,15.72,3.85,2.28,0.67,0.12,0.12,8.08,0.1221651043
61.84,0.54,16.03,4.98,3.27,1.8,0.08,0.19,9.03,0.1460219922
62.4,1.72,14.75,5.95,4.17,1.72,0.1,0.66,7.86,0.1259615385
64.4,0.47,13.1,9.3,3.25,0.4,0.28,0.17,8.66,0.1344720497
66.93,0.26,15.85,2.92,1.96,0.37,0.03,0.11,8.3,0.1240101599
68.22,0.57,15.39,2.93,1.23,1.02,0.09,0.18,8.37,0.1226912929
63.47,0.88,15.62,4.51,3.79,2.04,0.08,0.31,7.88,0.1241531432
64.94,1.56,14.77,4.12,2.11,0.77,0.13,0.22,8.85,0.1362796427
66.4,0.49,15.69,3.57,3.35,0.92,0.1,0.16,7.8,0.1174698795
64.75,1.19,13.03,5.97,2.53,1.17,0.13,0.31,7.65,0.1181467181
64.37,0.56,17.03,4.25,3.07,1.24,0.1,0.29,7.72,0.1199316452
65.2,0.81,15.65,4.01,3.39,2.12,0.04,0.36,7.97,0.1222392638
66.35,0.66,14.15,4.75,1.36,0.52,0.08,0.29,8.52,0.1284099472
68.21,0.32,15.7,2.28,1.67,0.41,0.08,0.12,8.95,0.1312124322
67.34,0.52,15.1,2.61,2.08,0.83,0.07,0.19,8.58,0.1274131274
68.09,1.8,3.29,0.31,0.1,0.01,0,0,9.37,0.1376119841
64.88,0.9,13.6,6.06,0.5,1.79,0.06,0.17,8.84,0.1362515413
67.9,0.44,13.8,6.26,1.5,0.17,0.2,0.12,9.62,0.1416789396
68.229,0.913,13.305,3.983,1.83,0.454,0.097,0.2,8.363,0.1225725132
64.18,0.62,16.35,4.37,3.8,1.7,0.08,0.19,7.54,0.1174820816
62.61,1.73,14.77,5.82,4.14,1.76,0.09,0.61,7.81,0.1247404568
63.67,1.31,14.34,7.02,1.37,0.13,0.17,0.34,8.55,0.134286163
66.62,0.09,19.86,0.85,0.35,0.07,0.02,0.03,9.05,0.1358450916
62.8,0.81,13.5,9.7,3.37,0.42,0.29,0.17,8.96,0.1426751592
63.5,0.7,15,4.23,3.9,1.9,0.1,0.2,7.3,0.1149606299
66.29,0.658,14.959,4.134,2.697,0.922,0.105,0.334,8.584,0.1294916277
64.62,0.51,16.89,3.84,1.85,1.24,0.06,0.23,8.42,0.1303002167
63.6,0.59,15.7,3.62,1.57,1.41,0.07,0.15,9.57,0.1504716981
63.09,0.85,16.22,5.28,3.68,1.6,0.19,0.36,8.14,0.129022032
62.4,0.55,15.85,3.56,5.04,2.21,0.06,0.36,8.18,0.1310897436
65.86,0.81,14.79,6.7,1.81,1.09,0.15,0.5,8.28,0.1257212268
68.5,0.4,16.14,2.2,1.87,0.64,0.09,0.17,8.71,0.1271532847
65.52,0.61,17.44,3.25,3.49,1.85,0.04,0.23,7.57,0.1155372405
66.7,0.54,16.96,3.28,2.66,0.89,0.09,0.23,8.58,0.1286356822
67.69,0.47,15.24,2.05,1.25,0.48,0.08,0.06,10.08,0.1489141675
68.343,0.886,13.35,4.828,1.97,0.563,0.087,0.251,8.56,0.1252505743
62.87,1.68,14.74,5.72,4.1,1.71,0.1,0.6,7.84,0.1247017655
67.87,0.57,16.01,2.24,1.45,0.67,0.06,0.11,9.72,0.1432149698
62.9,0.89,15.79,4.66,3.74,0.84,0.06,0.29,8.76,0.1392686804
67.67,0.63,15.33,3.11,2.56,1.24,0.08,0.18,8.08,0.1194029851
65.44,1.36,14.45,4.78,3.37,1.35,0.08,0.5,8.14,0.1243887531
