SiO2(wt%),TiO2(wt%),Al2O3(wt%),FeOT(wt%),CaO(wt%),MgO(wt%),MnO(wt%),P2O5(wt%),Na2O+K2O,Na2O+K2O/SiO2
60.31,0.71,16.6,6.25,6.65,2.19,0.14,0.22,6.24,0.1034654286
57.14,1.16,15.85,6.34,6.63,5.83,0.09,0.37,5.88,0.1029051453
67.51,0.37,15.48,1.84,0.32,0.23,0.01,0.06,11.04,0.1635313287
61.61,0.64,18.46,3.01,1.77,0.75,0.17,0.13,12.97,0.2105177731
